tracking_id,customer_id,ad_id,tracking_type,order_id,tracking_date
T0001,C0014,AD006,Click,,2025-02-12
T0002,C0043,AD009,Impression,,2025-01-06
T0003,C0030,AD006,Click,,2023-09-14
T0004,C0019,AD001,Conversion,O0049,2025-08-29
T0005,C0016,AD004,Impression,,2024-04-25
T0006,C0044,AD009,Conversion,O0030,2025-05-15
T0007,C0025,AD003,Conversion,O0098,2025-08-24
T0008,C0020,AD004,Impression,,2024-12-23
T0009,C0048,AD007,Impression,,2024-02-15
T0010,C0019,AD009,Click,,2024-06-07
T0011,C0004,AD003,Click,,2023-12-20
T0012,C0008,AD009,Click,,2024-09-04
T0013,C0015,AD001,Conversion,O0073,2025-05-30
T0014,C0019,AD008,Impression,,2024-06-19
T0015,C0049,AD008,Conversion,O0063,2025-06-09
T0016,C0015,AD005,Click,,2023-10-07
T0017,C0024,AD009,Click,,2025-06-14
T0018,C0027,AD007,Conversion,O0050,2025-01-30
T0019,C0035,AD004,Impression,,2025-01-07
T0020,C0011,AD008,Impression,,2025-01-07
T0021,C0032,AD010,Click,,2024-06-09
T0022,C0047,AD009,Impression,,2025-06-04
T0023,C0031,AD007,Conversion,O0071,2025-08-27
T0024,C0034,AD005,Conversion,O0088,2025-07-20
T0025,C0048,AD005,Impression,,2024-08-25
T0026,C0015,AD002,Conversion,O0029,2024-12-30
T0027,C0019,AD010,Click,,2024-02-04
T0028,C0042,AD009,Click,,2024-08-11
T0029,C0035,AD005,Impression,,2025-04-27
T0030,C0048,AD010,Conversion,O0061,2025-06-15
T0031,C0030,AD005,Impression,,2024-11-10
T0032,C0038,AD008,Conversion,O0052,2025-08-27
T0033,C0047,AD004,Impression,,2023-12-19
T0034,C0016,AD007,Conversion,O0034,2024-04-20
T0035,C0027,AD002,Impression,,2025-08-08
T0036,C0050,AD003,Click,,2025-02-07
T0037,C0009,AD010,Conversion,O0038,2025-07-06
T0038,C0023,AD007,Click,,2025-02-07
T0039,C0003,AD003,Click,,2025-05-10
T0040,C0024,AD006,Click,,2024-08-20
T0041,C0035,AD007,Impression,,2025-05-28
T0042,C0050,AD010,Impression,,2025-01-13
T0043,C0028,AD004,Impression,,2024-05-17
T0044,C0004,AD005,Conversion,O0051,2025-06-18
T0045,C0026,AD009,Impression,,2025-02-03
T0046,C0023,AD006,Conversion,O0032,2025-08-26
T0047,C0035,AD008,Click,,2025-01-19
T0048,C0010,AD007,Conversion,O0068,2025-07-11
T0049,C0011,AD001,Conversion,O0019,2024-10-08
T0050,C0011,AD002,Conversion,O0084,2025-05-08
T0051,C0011,AD010,Conversion,O0044,2025-08-16
T0052,C0025,AD002,Conversion,O0057,2025-08-17
T0053,C0011,AD009,Click,,2025-06-22
T0054,C0031,AD009,Conversion,O0066,2024-10-22
T0055,C0013,AD006,Click,,2024-05-27
T0056,C0004,AD007,Conversion,O0046,2024-11-29
T0057,C0041,AD009,Conversion,O0095,2025-05-01
T0058,C0010,AD008,Impression,,2024-04-22
T0059,C0003,AD003,Impression,,2025-07-13
T0060,C0026,AD003,Conversion,O0070,2024-06-19
T0061,C0032,AD009,Impression,,2024-01-01
T0062,C0008,AD009,Click,,2025-04-02
T0063,C0034,AD006,Impression,,2025-02-21
T0064,C0036,AD005,Impression,,2024-01-18
T0065,C0016,AD004,Click,,2023-08-29
T0066,C0005,AD003,Impression,,2025-02-16
T0067,C0020,AD010,Conversion,O0009,2025-03-31
T0068,C0027,AD008,Impression,,2023-09-19
T0069,C0016,AD003,Impression,,2025-02-17
T0070,C0019,AD002,Click,,2024-12-23
T0071,C0037,AD004,Impression,,2023-09-17
T0072,C0048,AD005,Click,,2023-09-21
T0073,C0015,AD010,Conversion,O0028,2025-07-05
T0074,C0004,AD003,Impression,,2025-05-18
T0075,C0039,AD009,Click,,2024-02-07
T0076,C0050,AD005,Conversion,O0082,2025-02-17
T0077,C0005,AD009,Conversion,O0001,2025-08-16
T0078,C0030,AD001,Conversion,O0094,2024-09-21
T0079,C0031,AD006,Conversion,O0032,2025-08-15
T0080,C0036,AD001,Impression,,2025-07-20
T0081,C0043,AD008,Impression,,2024-01-25
T0082,C0024,AD004,Conversion,O0091,2024-07-17
T0083,C0030,AD006,Click,,2025-06-28
T0084,C0021,AD005,Impression,,2023-09-15
T0085,C0001,AD008,Click,,2023-09-09
T0086,C0002,AD009,Click,,2024-02-16
T0087,C0005,AD004,Click,,2025-02-18
T0088,C0035,AD010,Impression,,2024-07-17
T0089,C0022,AD007,Impression,,2025-04-24
T0090,C0026,AD008,Click,,2024-08-08
T0091,C0024,AD005,Click,,2025-06-07
T0092,C0040,AD007,Conversion,O0093,2025-08-12
T0093,C0040,AD008,Impression,,2025-04-29
T0094,C0009,AD007,Click,,2024-01-08
T0095,C0034,AD009,Click,,2024-02-01
T0096,C0008,AD007,Click,,2024-08-06
T0097,C0041,AD004,Impression,,2025-05-19
T0098,C0002,AD009,Conversion,O0057,2025-08-31
T0099,C0013,AD005,Impression,,2024-02-03
T0100,C0032,AD002,Click,,2024-01-06
T0101,C0026,AD001,Impression,,2024-02-06
T0102,C0042,AD008,Click,,2024-02-16
